Genetic Sudoku Experiment
Experiment Time: 27/06/2016 10:29:49
Expirement Parameters:,
Orginal Empty Cells:,52,
Population Size:,5,
Max Generations:,50,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
Percent of good indviduals from population:,0.4,
,
Primitive Set:,
Plus,Minus,Multi,div,Mod,Maximum,Minimum,
Terminal Set:,
countEmptyCellInRow,countEmptyCellInCol,countEmptyCellInSquare,NumOfOptionsInCell,numOfOptionsToAppearInBoard,countEmptyCellsInRowsContainsNum,countEmptyCellsInColsContainsNum,countEmptyCellsInSquareContainsNum,countEmptyCellsInRows_ThatNotContainsNum,countEmptyCellsInCols_ThatNotContainsNum,countEmptyCellsInSquare_ThatNotContainsNum,
,
,
Generation,Worst Individual Fitness,Best Individual Fitness,Average Fitness,Best Individual Tree - Prefix,Best Individual Tree - Infix,
0,18.0,8.0,11.6,Multi( Minimum( Plus( Maximum( Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  Plus( Plus( countEmptyCellInSquare  countEmptyCellsInCols_ThatNotContainsNum )  Minimum( countEmptyCellInRow  countEmptyCellInRow ) ) )  Minimum( Minimum( Mod( countEmptyCellsInRowsContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Multi( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) )  div( Mod( NumOfOptionsInCell  countEmptyCellsInRows_ThatNotContainsNum )  Mod( NumOfOptionsInCell  countEmptyCellsInRows_ThatNotContainsNum ) ) ) )  Minimum( Maximum( Minus( Minimum( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) )  Plus( Maximum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) ) )  Plus( Minimum( Minimum( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  Multi( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) )  Plus( Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  div( countEmptyCellInRow  countEmptyCellInCol ) ) ) ) ),((((( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ) Max ( countEmptyCellsInCols_ThatNotContainsNum  -  NumOfOptionsInCell )) + (( countEmptyCellInSquare  +  countEmptyCellsInCols_ThatNotContainsNum ) + ( countEmptyCellInRow  Min  countEmptyCellInRow ))) Min ((( countEmptyCellsInRowsContainsNum  %  countEmptyCellsInCols_ThatNotContainsNum ) Min ( NumOfOptionsInCell  *  countEmptyCellsInCols_ThatNotContainsNum )) Min (( NumOfOptionsInCell  %  countEmptyCellsInRows_ThatNotContainsNum ) / ( NumOfOptionsInCell  %  countEmptyCellsInRows_ThatNotContainsNum )))) * (((( countEmptyCellsInRowsContainsNum  Min  NumOfOptionsInCell ) - ( countEmptyCellsInColsContainsNum  /  NumOfOptionsInCell )) Max (( countEmptyCellsInCols_ThatNotContainsNum  Max  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInColsContainsNum  -  NumOfOptionsInCell ))) Min ((( NumOfOptionsInCell  Min  numOfOptionsToAppearInBoard ) Min ( countEmptyCellInRow  *  countEmptyCellsInSquareContainsNum )) + (( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum ) + ( countEmptyCellInRow  /  countEmptyCellInCol ))))),
1,13.0,9.0,11.4,Minus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) )  Minimum( Maximum( Minus( Minimum( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) )  Plus( Maximum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) ) )  Plus( Minimum( Minimum( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  Multi( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) )  Plus( Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  div( countEmptyCellInRow  countEmptyCellInCol ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare )))) - (((( countEmptyCellsInRowsContainsNum  Min  NumOfOptionsInCell ) - ( countEmptyCellsInColsContainsNum  /  NumOfOptionsInCell )) Max (( countEmptyCellsInCols_ThatNotContainsNum  Max  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInColsContainsNum  -  NumOfOptionsInCell ))) Min ((( NumOfOptionsInCell  Min  numOfOptionsToAppearInBoard ) Min ( countEmptyCellInRow  *  countEmptyCellsInSquareContainsNum )) + (( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum ) + ( countEmptyCellInRow  /  countEmptyCellInCol ))))),
2,14.0,8.0,11.4,Plus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) )  Minimum( Maximum( Minus( Minimum( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) )  Plus( Maximum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) ) )  Plus( Minimum( Minimum( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  Multi( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) )  Plus( Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  div( countEmptyCellInRow  countEmptyCellInCol ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare )))) + (((( countEmptyCellsInRowsContainsNum  Min  NumOfOptionsInCell ) - ( countEmptyCellsInColsContainsNum  /  NumOfOptionsInCell )) Max (( countEmptyCellsInCols_ThatNotContainsNum  Max  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInColsContainsNum  -  NumOfOptionsInCell ))) Min ((( NumOfOptionsInCell  Min  numOfOptionsToAppearInBoard ) Min ( countEmptyCellInRow  *  countEmptyCellsInSquareContainsNum )) + (( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum ) + ( countEmptyCellInRow  /  countEmptyCellInCol ))))),
3,9.0,7.0,7.8,Minus( Multi( Maximum( Plus( Mod( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) )  Minimum( Maximum( countEmptyCellInCol  countEmptyCellsInColsContainsNum )  Mod( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) ) )  Mod( Multi( Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInRow )  Minus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Mod( countEmptyCellInSquare  countEmptyCellsInColsContainsNum )  Minimum( countEmptyCellsInSquare_ThatNotContainsNum  numOfOptionsToAppearInBoard ) ) ) )  div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellsInRows_ThatNotContainsNum  %  NumOfOptionsInCell ) + ( numOfOptionsToAppearInBoard  Min  countEmptyCellInSquare )) Max (( countEmptyCellInCol  Max  countEmptyCellsInColsContainsNum ) Min ( countEmptyCellsInSquare_ThatNotContainsNum  %  countEmptyCellsInSquare_ThatNotContainsNum ))) * ((( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellInRow ) * ( countEmptyCellsInSquare_ThatNotContainsNum  -  countEmptyCellsInRows_ThatNotContainsNum )) % (( countEmptyCellInSquare  %  countEmptyCellsInColsContainsNum ) + ( countEmptyCellsInSquare_ThatNotContainsNum  Min  numOfOptionsToAppearInBoard )))) - (((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare ))))),
4,10.0,7.0,8.6,Plus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) )  div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare )))) + (((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare ))))),
5,16.0,6.0,9.6,Plus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Minimum( Minimum( Multi( countEmptyCellInRow  countEmptyCellsInColsContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) )  Plus( div( countEmptyCellInCol  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) ) ) )  Minimum( Plus( Maximum( Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  Plus( Plus( countEmptyCellInSquare  countEmptyCellsInCols_ThatNotContainsNum )  Minimum( countEmptyCellInRow  countEmptyCellInRow ) ) )  Minimum( Minimum( Mod( countEmptyCellsInRowsContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Multi( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) )  div( Mod( NumOfOptionsInCell  countEmptyCellsInRows_ThatNotContainsNum )  Mod( NumOfOptionsInCell  countEmptyCellsInRows_ThatNotContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( countEmptyCellInRow  *  countEmptyCellsInColsContainsNum ) Min ( countEmptyCellsInCols_ThatNotContainsNum  -  countEmptyCellsInRowsContainsNum )) Min (( countEmptyCellInCol  /  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellInRow  Max  countEmptyCellsInSquareContainsNum )))) + (((( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ) Max ( countEmptyCellsInCols_ThatNotContainsNum  -  NumOfOptionsInCell )) + (( countEmptyCellInSquare  +  countEmptyCellsInCols_ThatNotContainsNum ) + ( countEmptyCellInRow  Min  countEmptyCellInRow ))) Min ((( countEmptyCellsInRowsContainsNum  %  countEmptyCellsInCols_ThatNotContainsNum ) Min ( NumOfOptionsInCell  *  countEmptyCellsInCols_ThatNotContainsNum )) Min (( NumOfOptionsInCell  %  countEmptyCellsInRows_ThatNotContainsNum ) / ( NumOfOptionsInCell  %  countEmptyCellsInRows_ThatNotContainsNum ))))),
6,11.0,6.0,7.8,Plus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Minimum( Minimum( Multi( countEmptyCellInRow  countEmptyCellsInColsContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) )  Plus( div( countEmptyCellInCol  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) ) ) )  Minimum( Plus( Maximum( Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  Plus( Plus( countEmptyCellInSquare  countEmptyCellsInCols_ThatNotContainsNum )  Minimum( countEmptyCellInRow  countEmptyCellInRow ) ) )  Minimum( Minimum( Mod( countEmptyCellsInRowsContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Multi( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) )  div( Mod( NumOfOptionsInCell  countEmptyCellsInRows_ThatNotContainsNum )  Mod( NumOfOptionsInCell  countEmptyCellsInRows_ThatNotContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( countEmptyCellInRow  *  countEmptyCellsInColsContainsNum ) Min ( countEmptyCellsInCols_ThatNotContainsNum  -  countEmptyCellsInRowsContainsNum )) Min (( countEmptyCellInCol  /  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellInRow  Max  countEmptyCellsInSquareContainsNum )))) + (((( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ) Max ( countEmptyCellsInCols_ThatNotContainsNum  -  NumOfOptionsInCell )) + (( countEmptyCellInSquare  +  countEmptyCellsInCols_ThatNotContainsNum ) + ( countEmptyCellInRow  Min  countEmptyCellInRow ))) Min ((( countEmptyCellsInRowsContainsNum  %  countEmptyCellsInCols_ThatNotContainsNum ) Min ( NumOfOptionsInCell  *  countEmptyCellsInCols_ThatNotContainsNum )) Min (( NumOfOptionsInCell  %  countEmptyCellsInRows_ThatNotContainsNum ) / ( NumOfOptionsInCell  %  countEmptyCellsInRows_ThatNotContainsNum ))))),
7,10.0,6.0,7.8,Minus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) )  Plus( Plus( Minimum( Plus( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellsInColsContainsNum  numOfOptionsToAppearInBoard ) )  Multi( Multi( countEmptyCellInSquare  countEmptyCellInRow )  div( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInSquareContainsNum ) ) )  Mod( Minimum( Maximum( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum )  div( countEmptyCellInCol  countEmptyCellInRow ) )  Minimum( Plus( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  Multi( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare )))) - (((( NumOfOptionsInCell  +  countEmptyCellsInSquareContainsNum ) Min ( countEmptyCellsInColsContainsNum  Min  numOfOptionsToAppearInBoard )) + (( countEmptyCellInSquare  *  countEmptyCellInRow ) * ( countEmptyCellsInCols_ThatNotContainsNum  /  countEmptyCellsInSquareContainsNum ))) + ((( NumOfOptionsInCell  Max  countEmptyCellsInRowsContainsNum ) Min ( countEmptyCellInCol  /  countEmptyCellInRow )) % (( countEmptyCellInSquare  +  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  *  countEmptyCellsInRowsContainsNum ))))),
8,10.0,5.0,6.8,Plus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) )  div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Minimum( Minimum( Multi( countEmptyCellInRow  countEmptyCellsInColsContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) )  Plus( div( countEmptyCellInCol  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare )))) + (((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( countEmptyCellInRow  *  countEmptyCellsInColsContainsNum ) Min ( countEmptyCellsInCols_ThatNotContainsNum  -  countEmptyCellsInRowsContainsNum )) Min (( countEmptyCellInCol  /  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellInRow  Max  countEmptyCellsInSquareContainsNum ))))),
9,14.0,6.0,8.6,Plus( div( Minus( Plus( Plus( NumOfOptionsInCell  countEmptyCellInCol )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Plus( Minus( Plus( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInSquare  countEmptyCellsInColsContainsNum ) )  Minimum( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) )  Plus( Plus( Minimum( Plus( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellsInColsContainsNum  numOfOptionsToAppearInBoard ) )  Multi( Multi( countEmptyCellInSquare  countEmptyCellInRow )  div( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInSquareContainsNum ) ) )  Mod( Minimum( Maximum( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum )  div( countEmptyCellInCol  countEmptyCellInRow ) )  Minimum( Plus( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  Multi( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  +  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum )) - (( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum ))) / ((( numOfOptionsToAppearInBoard  +  NumOfOptionsInCell ) - ( countEmptyCellInSquare  -  countEmptyCellsInColsContainsNum )) + (( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) Min ( countEmptyCellInSquare  Max  countEmptyCellInSquare )))) + (((( NumOfOptionsInCell  +  countEmptyCellsInSquareContainsNum ) Min ( countEmptyCellsInColsContainsNum  Min  numOfOptionsToAppearInBoard )) + (( countEmptyCellInSquare  *  countEmptyCellInRow ) * ( countEmptyCellsInCols_ThatNotContainsNum  /  countEmptyCellsInSquareContainsNum ))) + ((( NumOfOptionsInCell  Max  countEmptyCellsInRowsContainsNum ) Min ( countEmptyCellInCol  /  countEmptyCellInRow )) % (( countEmptyCellInSquare  +  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  *  countEmptyCellsInRowsContainsNum ))))),
